gene_name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
ENSMUSG00000028954.11	Nub1	2709.99257983945	1.81211154945125	0.0928835318149017	19.5095030738326	9.11639575393061e-85	1.58571660261017e-82
ENSMUSG00000027456.8	Sdcbp2	292.163469540397	5.89956277761806	0.30517655260952	19.331638447226	2.91027506347456e-83	5.01998196157166e-81
ENSMUSG00000026638.15	Irf6	457.449599649469	7.32990056877105	0.379380814593135	19.3206938432877	3.5978201633168e-83	6.15465120334664e-81
ENSMUSG00000044737.6	Klk14	437.395696794253	7.18280555282779	0.372143574805299	19.3011677188992	5.25091097400546e-83	8.90890215171632e-81
ENSMUSG00000025481.12	Urah	250.309185179119	4.61765168465339	0.239286992088018	19.2975457811549	5.63213915249819e-83	9.47802018841951e-81
ENSMUSG00000035852.11	Misp	767.162925580203	8.71107935346775	0.452765141080258	19.2397306309489	1.72100423366131e-82	2.87282795423834e-80
ENSMUSG00000002384.2	Bmp8b	250.286397741751	4.44826906671152	0.231303874065926	19.2312778360283	2.02574765146674e-82	3.35447605101681e-80
ENSMUSG00000033491.13	Prss35	661.813071329775	2.67744597226008	0.139358242624199	19.2126846739897	2.89880439768174e-82	4.76209144663606e-80
ENSMUSG00000040152.8	Thbs1	95092.4165663864	-1.87362792212872	0.097777671349796	-19.1621246064031	7.66784639766074e-82	1.24973820933212e-79
ENSMUSG00000006310.10	Zbtb32	296.292231050101	5.64379800485269	0.295697539310743	19.0863881316297	3.27655750672353e-81	5.29855186184925e-79
ENSMUSG00000027377.2	Mall	380.009830267653	7.06056814436225	0.370649868093352	19.0491586593091	6.67666331412952e-81	1.07131979797804e-78
ENSMUSG00000034382.14	AI661453	239.830321294801	4.17244782200296	0.219282739135916	19.027707508783	1.00556558627015e-80	1.60109246693892e-78
ENSMUSG00000052180.15	Serpinb6c	292.823050542123	4.70444947570132	0.247596928161961	19.0004355491195	1.69135101156017e-80	2.67246370902932e-78
ENSMUSG00000003283.15	Hck	359.547845163086	3.5182096521406	0.185883483960325	18.9269620795978	6.83946525674689e-80	1.07250069204094e-77
