##FastQC	0.11.9
>>Basic Statistics	pass
#Measure	Value
Filename	mp2.fastq
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	1500000
Sequences flagged as poor quality	0
Sequence length	251
%GC	44
>>END_MODULE
>>Per base sequence quality	fail
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1106	180-184	0.6156796029744385
1106	185-189	0.5040650526748571
1106	190-194	0.3840254356772945
1106	195-199	0.5777752991651326
1106	200-204	0.2916868694564272
1106	205-209	0.24955894589202288
1106	210-214	0.18855500305284778
1106	215-219	0.06161119910355595
1106	220-224	0.3567463088962839
1106	225-229	0.38155288831460865
1106	230-234	0.6284582636477225
1106	235-239	0.27260264228634057
1106	240-244	0.46069145803244993
1106	245-249	0.5109463826628335
1106	250-251	0.14039574787795317
1107	1	0.21620012242186704
1107	2	0.2433623289232294
1107	3	0.2804783332251084
1107	4	0.2101874056689148
1107	5	0.007111827006454519
1107	6	0.19221532792714413
1107	7	-0.14503849551167036
1107	8	0.07159982421946154
1107	9	0.09442502714384204
1107	10-14	0.1292691349027706
1107	15-19	0.25158938563067323
1107	20-24	0.48712366706539
1107	25-29	0.46228304018865884
1107	30-34	0.37950496769501996
1107	35-39	0.37630022937003815
1107	40-44	-0.20550023642164206
1107	45-49	0.4505383401985057
1107	50-54	0.5037137453953235
1107	55-59	0.2578403689180888
1107	60-64	0.4513735587476262
1107	65-69	0.44670979378196307
1107	70-74	0.35173027067095575
1107	75-79	0.3781435996180065
1107	80-84	0.2882277534674955
1107	85-89	0.3435705471547408
1107	90-94	-0.03346595651958495
1107	95-99	0.301843323213582
1107	100-104	0.38178967657124474
1107	105-109	0.5570270754419369
1107	110-114	0.46690095398747644
1107	115-119	0.828164333777913
1107	120-124	0.920179727679816
1107	125-129	0.5287807629007872
1107	130-134	-0.35108937747337166
1107	135-139	0.3153867697303383
1107	140-144	-0.26331968473752454
1107	145-149	-0.053655508586246015
1107	150-154	0.7622616908111368
1107	155-159	-0.2085157124485164
1107	160-164	-0.15403917453244986
1107	165-169	0.4675400216534591
1107	170-174	0.6723631862138681
1107	175-179	0.8750900670937689
1107	180-184	0.29958555486187777
1107	185-189	0.654762080003934
1107	190-194	0.6192279916118508
1107	195-199	0.7848619022667727
1107	200-204	-0.12782351986115614
1107	205-209	-0.5192996170826838
1107	210-214	0.22068889203466568
1107	215-219	0.166427467822146
1107	220-224	0.22124855258159926
1107	225-229	0.4747860194617175
1107	230-234	0.6791723701373193
1107	235-239	0.23501841014551772
1107	240-244	0.2749329869385342
1107	245-249	0.4376665050412605
1107	250-251	0.21366742229024283
1108	1	-0.039539499678248546
1108	2	-0.14733830519439195
1108	3	0.201656485834242
1108	4	0.1459816276901904
1108	5	0.20380731884701575
1108	6	-0.07358988739721894
1108	7	-0.29345713895888537
1108	8	0.06765364026244214
1108	9	-1.9884484323995366E-4
1108	10-14	-0.0038464504691191337
1108	15-19	0.22485054061994703
1108	20-24	0.21748570382710142
1108	25-29	0.27712489548166985
1108	30-34	0.18799956404980378
1108	35-39	0.08242696147151918
1108	40-44	-0.5476388932472886
1108	45-49	0.4093361100379411
1108	50-54	0.3346661257011547
1108	55-59	0.12606999453478807
1108	60-64	-0.15138667002531747
1108	65-69	0.15947027147696957
1108	70-74	0.2587752807568293
1108	75-79	0.3361639360972646
1108	80-84	0.11347645149201213
1108	85-89	0.5515013667373907
1108	90-94	0.16464066086957274
1108	95-99	0.2687491632417931
1108	100-104	-0.1735888637226779
1108	105-109	0.319852657568795
1108	110-114	0.4813488426079786
1108	115-119	0.03149449448651609
1108	120-124	0.38575982694993627
1108	125-129	-0.14426949627232233
1108	130-134	0.2284578830941726
1108	135-139	-0.02175742447954576
1108	140-144	0.8239957271130649
1108	145-149	0.6677371333683482
1108	150-154	0.9788965633426798
1108	155-159	0.04832117617062437
1108	160-164	0.07164235821188925
1108	165-169	0.3326331207647222
1108	170-174	0.9861086167969795
1108	175-179	0.8987682208343593
1108	180-184	0.8581119725069186
1108	185-189	0.4907630159508578
1108	190-194	0.4229519560621604
1108	195-199	0.5631130302231213
1108	200-204	0.08822358886392223
1108	205-209	0.4811916192769523
1108	210-214	1.056336213837021
1108	215-219	0.2610628535857096
1108	220-224	0.594973861211006
1108	225-229	0.27651015317901795
1108	230-234	0.4761985209831785
1108	235-239	0.45162234392863354
1108	240-244	0.5271569787702681
1108	245-249	0.7658913604062292
